"ROW_ID","ROW_VERSION","ROW_ETAG","id","createdOn","createdBy","etag","type","currentVersion","parentId","benefactorId","projectId","modifiedOn","modifiedBy","BrodmannArea","PMI","assay","concreteType","study","consortium","dataSubtype","dataType","fileFormat","group","isStranded","libraryPrep","organ","platform","read","readLength","readStrandOrigin","runType","species","specimenID","specimenIdSource","tissue","name","dataFileHandleId","RIN"
"8685816","1","7f8f0ebe-7ab2-11e9-98fa-026b0a0ad230","syn8685816","1492029714053","2223305","7f8f0ebe-7ab2-11e9-98fa-026b0a0ad230","file","1","syn8612213","syn2580853","syn2580853","1494016672268","3337572",,"1.25","rnaSeq",,"rnaSeqReprocessing","AMP-AD",,"geneExpression","fastq",,"FALSE","polyAselection","brain","HiSeq2000","R1","101",,"pairedEnd","Human","11291_CER","MayoRNAseq","cerebellum","11291_CER.FCC7L2YACXX_L7IGATCAG.r1.fastq.gz","15150005","8.3"
"8685868","1","7f8f1255-7ab2-11e9-98fa-026b0a0ad230","syn8685868","1492029967337","2223305","7f8f1255-7ab2-11e9-98fa-026b0a0ad230","file","1","syn8612213","syn2580853","syn2580853","1494016676597","3337572",,"3","rnaSeq",,"rnaSeqReprocessing","AMP-AD",,"geneExpression","fastq",,"FALSE","polyAselection","brain","HiSeq2000","R1","101",,"pairedEnd","Human","11292_CER","MayoRNAseq","cerebellum","11292_CER.FCC7BMUACXX_L8IACTGAT.r1.fastq.gz","15150023","6.8"
"8685882","1","7f8f143b-7ab2-11e9-98fa-026b0a0ad230","syn8685882","1492030187215","2223305","7f8f143b-7ab2-11e9-98fa-026b0a0ad230","file","1","syn8612213","syn2580853","syn2580853","1494016680890","3337572",,"2","rnaSeq",,"rnaSeqReprocessing","AMP-AD",,"geneExpression","fastq",,"FALSE","polyAselection","brain","HiSeq2000","R1","101",,"pairedEnd","Human","11294_CER","MayoRNAseq","cerebellum","11294_CER.FCC7BR1ACXX_L5IATCACG.r1.fastq.gz","15150030","8.6"
"8685891","1","7f8f1572-7ab2-11e9-98fa-026b0a0ad230","syn8685891","1492030393857","2223305","7f8f1572-7ab2-11e9-98fa-026b0a0ad230","file","1","syn8612213","syn2580853","syn2580853","1494016683386","3337572",,"2","rnaSeq",,"rnaSeqReprocessing","AMP-AD",,"geneExpression","fastq",,"FALSE","polyAselection","brain","HiSeq2000","R2","101",,"pairedEnd","Human","11294_CER","MayoRNAseq","cerebellum","11294_CER.FCC7BR1ACXX_L5IATCACG.r2.fastq.gz","15150035","8.6"
"8685913","1","7f8f1cac-7ab2-11e9-98fa-026b0a0ad230","syn8685913","1492030563710","2223305","7f8f1cac-7ab2-11e9-98fa-026b0a0ad230","file","1","syn8612213","syn2580853","syn2580853","1494016685382","3337572",,"8","rnaSeq",,"rnaSeqReprocessing","AMP-AD",,"geneExpression","fastq",,"FALSE","polyAselection","brain","HiSeq2000","R1","101",,"pairedEnd","Human","11295_CER","MayoRNAseq","cerebellum","11295_CER.FCC79ETACXX_L5ITTAGGC.r1.fastq.gz","15150048","7.8"
"8686060","1","7f8f6af1-7ab2-11e9-98fa-026b0a0ad230","syn8686060","1492030854666","2223305","7f8f6af1-7ab2-11e9-98fa-026b0a0ad230","file","1","syn8612213","syn2580853","syn2580853","1494016689989","3337572",,"11","rnaSeq",,"rnaSeqReprocessing","AMP-AD",,"geneExpression","fastq",,"FALSE","polyAselection","brain","HiSeq2000","R1","101",,"pairedEnd","Human","11298_CER","MayoRNAseq","cerebellum","11298_CER.FCC7DRJACXX_L8IATTCCT.r1.fastq.gz","15150175","9.7"
"8686183","1","7f8fc432-7ab2-11e9-98fa-026b0a0ad230","syn8686183","1492031089848","2223305","7f8fc432-7ab2-11e9-98fa-026b0a0ad230","file","1","syn8612213","syn2580853","syn2580853","1494016691832","3337572",,"11","rnaSeq",,"rnaSeqReprocessing","AMP-AD",,"geneExpression","fastq",,"FALSE","polyAselection","brain","HiSeq2000","R2","101",,"pairedEnd","Human","11298_CER","MayoRNAseq","cerebellum","11298_CER.FCC7DRJACXX_L8IATTCCT.r2.fastq.gz","15150288","9.7"
"8686319","1","7f900a2a-7ab2-11e9-98fa-026b0a0ad230","syn8686319","1492031369941","2223305","7f900a2a-7ab2-11e9-98fa-026b0a0ad230","file","1","syn8612213","syn2580853","syn2580853","1494016700605","3337572",,,"rnaSeq",,"rnaSeqReprocessing","AMP-AD",,"geneExpression","fastq",,"FALSE","polyAselection","brain","HiSeq2000","R2","101",,"pairedEnd","Human","11300_CER","MayoRNAseq","cerebellum","11300_CER.FCC7L0WACXX_L7IGTTTCG.r2.fastq.gz","15150433","8.5"
"8686453","1","7f9052db-7ab2-11e9-98fa-026b0a0ad230","syn8686453","1492031645155","2223305","7f9052db-7ab2-11e9-98fa-026b0a0ad230","file","1","syn8612213","syn2580853","syn2580853","1494016703905","3337572",,"18","rnaSeq",,"rnaSeqReprocessing","AMP-AD",,"geneExpression","fastq",,"FALSE","polyAselection","brain","HiSeq2000","R2","101",,"pairedEnd","Human","11303_CER","MayoRNAseq","cerebellum","11303_CER.FCC7L0WACXX_L2ITAGCTT.r2.fastq.gz","15150595","8.4"
"8686557","1","7f9085a3-7ab2-11e9-98fa-026b0a0ad230","syn8686557","1492031837761","2223305","7f9085a3-7ab2-11e9-98fa-026b0a0ad230","file","1","syn8612213","syn2580853","syn2580853","1494016712936","3337572",,"3","rnaSeq",,"rnaSeqReprocessing","AMP-AD",,"geneExpression","fastq",,"FALSE","polyAselection","brain","HiSeq2000","R2","101",,"pairedEnd","Human","11306_CER","MayoRNAseq","cerebellum","11306_CER.FCC7E15ACXX_L5ITTAGGC.r2.fastq.gz","15150678","6.7"
